H_FX,H_XD,StationID,InfoTime
12,27,C0AD00,2021/12/12 4:00
9.7,350,C0AD00,2021/12/12 5:00
8.7,209,C0I520,2021/12/12 5:00
7.1,30,C0A920,2021/12/12 5:00
8.9,20,C0C590,2021/12/12 5:00
7.3,20,C0D660,2021/12/12 5:00
9.4,14,C0R670,2021/12/12 5:00
8.8,14,C0AH50,2021/12/12 5:00
12.9,26,C0W130,2021/12/12 5:00
7.3,22,C0E540,2021/12/12 5:00
7.8,228,C0S910,2021/12/12 5:00
10.3,12,C0G900,2021/12/12 5:00
10,59,C0D650,2021/12/12 5:00
9.8,106,C0R800,2021/12/12 5:00
8.8,24,C0C690,2021/12/12 5:00
9.8,12,C0C620,2021/12/12 5:00
9,29,C0D590,2021/12/12 5:00
8.2,32,C0C700,2021/12/12 6:00
6.5,271,C0T900,2021/12/12 6:00
10.2,110,C0S730,2021/12/12 6:00
11.1,24,C0W170,2021/12/12 6:00
7,308,C0C660,2021/12/12 6:00
11.2,44,C0D650,2021/12/12 6:00
8.3,6,C0R340,2021/12/12 6:00
11.2,352,C0R790,2021/12/12 6:00
8.8,344,C0A920,2021/12/12 6:00
8,38,C0D590,2021/12/12 6:00
9.5,32,C0C690,2021/12/12 6:00
13.1,1,C0W130,2021/12/12 6:00
10.3,30,C0AD00,2021/12/12 6:00
8.3,65,C0R670,2021/12/12 6:00
9.3,97,C0R740,2021/12/12 6:00
8.3,101,C0R800,2021/12/12 6:00
8.8,24,C0G900,2021/12/12 6:00
15.1,7,C0W120,2021/12/12 6:00
10.4,17,C0AH50,2021/12/12 6:00
10.6,48,C0S910,2021/12/12 6:00
11.2,14,C0C680,2021/12/12 6:00
8.1,11,C0E540,2021/12/12 6:00
9.6,306,C0Z190,2021/12/12 6:00
9.2,21,C0AD10,2021/12/12 6:00
9,52,C0C540,2021/12/12 6:00
12,42,C0S910,2021/12/12 7:00
9.8,48,C0AD00,2021/12/12 7:00
10.6,349,C0C680,2021/12/12 7:00
9,350,C0C540,2021/12/12 7:00
7.8,117,C0R800,2021/12/12 7:00
11.1,28,C0C690,2021/12/12 7:00
8.9,21,C0G900,2021/12/12 7:00
13.6,16,C0W120,2021/12/12 7:00
7.7,325,C0A930,2021/12/12 7:00
10.4,7,C0AH50,2021/12/12 7:00
8.8,15,C0C620,2021/12/12 7:00
13,351,C0B020,2021/12/12 7:00
8.6,30,C0E540,2021/12/12 7:00
10.3,7,C0R790,2021/12/12 7:00
8.3,36,C0D660,2021/12/12 7:00
7.1,338,C0AI00,2021/12/12 7:00
8.7,15,C0C590,2021/12/12 7:00
12.3,46,C0W170,2021/12/12 7:00
9.3,37,C0C700,2021/12/12 7:00
8.4,40,C0R670,2021/12/12 7:00
8.5,37,C0D590,2021/12/12 7:00
7.7,14,C0AD10,2021/12/12 7:00
13.6,26,C0W130,2021/12/12 7:00
8.7,353,C0S900,2021/12/12 8:00
13.3,17,C0W130,2021/12/12 8:00
10.3,56,C0E880,2021/12/12 8:00
9.3,14,C0AH50,2021/12/12 8:00
9.3,22,C0A920,2021/12/12 8:00
11.1,27,C0G900,2021/12/12 8:00
12.8,49,C0W170,2021/12/12 8:00
8.6,34,C0C700,2021/12/12 8:00
11.3,26,C0C690,2021/12/12 8:00
7.7,68,C0A930,2021/12/12 8:00
9.3,35,C0C620,2021/12/12 8:00
6.8,63,C0E540,2021/12/12 8:00
15.4,3,C0B020,2021/12/12 8:00
8.8,29,C0R620,2021/12/12 8:00
9.7,22,C0AD00,2021/12/12 8:00
9,307,C0Z190,2021/12/12 8:00
14.1,18,C0W120,2021/12/12 8:00
8.7,35,C0E550,2021/12/12 9:00
8.3,39,C0C660,2021/12/12 9:00
12,35,C0W170,2021/12/12 9:00
10.7,86,C0R740,2021/12/12 9:00
10,26,C0R620,2021/12/12 9:00
7.6,30,C0D660,2021/12/12 9:00
9.2,5,C0S900,2021/12/12 9:00
7.6,8,C0E850,2021/12/12 9:00
10.5,62,C0R320,2021/12/12 9:00
8.2,56,C0A920,2021/12/12 9:00
12.9,5,C0B020,2021/12/12 9:00
11.3,60,C0S970,2021/12/12 9:00
8.1,30,C0R770,2021/12/12 9:00
8.7,32,C0C690,2021/12/12 9:00
8.3,59,C0R730,2021/12/12 9:00
7.1,39,C0AD00,2021/12/12 9:00
7.1,126,C0S770,2021/12/12 9:00
7.5,37,C0E540,2021/12/12 9:00
11.7,29,C0G900,2021/12/12 9:00
16.7,19,C0W120,2021/12/12 9:00
9.3,25,C0C700,2021/12/12 9:00
8.3,50,C0R670,2021/12/12 9:00
7.7,36,C0A930,2021/12/12 9:00
9.1,47,C0D590,2021/12/12 9:00
14,30,C0W130,2021/12/12 9:00
10.7,37,C0S910,2021/12/12 9:00
9.3,32,C0R800,2021/12/12 9:00
9.2,51,C0R670,2021/12/12 10:00
9.8,29,C0F9K0,2021/12/12 10:00
9.5,54,C0E540,2021/12/12 10:00
10.9,101,C0R740,2021/12/12 10:00
7.6,74,C0R770,2021/12/12 10:00
11.1,41,C0R620,2021/12/12 10:00
10.5,334,C0S900,2021/12/12 10:00
8.1,78,C0AD00,2021/12/12 10:00
10,6,C0K530,2021/12/12 10:00
11.9,353,C0B020,2021/12/12 10:00
7.7,60,C0AC40,2021/12/12 10:00
9.2,15,C0G640,2021/12/12 10:00
9.4,53,C0R730,2021/12/12 10:00
11,43,C0S910,2021/12/12 10:00
8.6,21,C0E810,2021/12/12 10:00
10.1,19,C0S990,2021/12/12 10:00
11.9,12,C0W170,2021/12/12 10:00
9.9,53,C0R350,2021/12/12 10:00
8.8,310,C0A860,2021/12/12 10:00
8.5,40,C0R830,2021/12/12 10:00
12.6,9,C0R720,2021/12/12 10:00
8.5,57,C0C660,2021/12/12 10:00
17.1,19,C0W120,2021/12/12 10:00
8.8,46,C0D590,2021/12/12 10:00
12.1,13,C0G900,2021/12/12 10:00
10.5,43,C0G800,2021/12/12 10:00
11.9,65,C0R680,2021/12/12 10:00
14.4,9,C0W130,2021/12/12 10:00
7.8,34,C0D660,2021/12/12 10:00
8.9,36,C0E420,2021/12/12 10:00
11.9,29,C0F9P0,2021/12/12 10:00
11.6,44,C0R840,2021/12/12 10:00
13.2,38,C0R710,2021/12/12 10:00
9.3,40,C0F9R0,2021/12/12 11:00
8.1,22,C0E540,2021/12/12 11:00
6.6,55,C0F9U0,2021/12/12 11:00
9.3,9,C0AH50,2021/12/12 11:00
13.2,9,C0W130,2021/12/12 11:00
10.2,42,C0S910,2021/12/12 11:00
10.8,358,C0B020,2021/12/12 11:00
8.4,30,C0R620,2021/12/12 11:00
8.2,22,C0A930,2021/12/12 11:00
13.2,360,C0W170,2021/12/12 11:00
10.2,29,C0C690,2021/12/12 11:00
8.4,357,C0G750,2021/12/12 11:00
7.7,67,C0R680,2021/12/12 11:00
9.1,31,C0SA30,2021/12/12 11:00
11.8,37,C0G800,2021/12/12 11:00
8.5,21,C0AD00,2021/12/12 11:00
8.1,80,C0R800,2021/12/12 11:00
15.6,9,C0G900,2021/12/12 11:00
7.7,32,C0C700,2021/12/12 11:00
12.1,28,CM0120,2021/12/12 11:00
12.1,35,C0F9P0,2021/12/12 11:00
17.3,19,C0W120,2021/12/12 11:00
9.4,57,C0C660,2021/12/12 11:00
8,70,C0C540,2021/12/12 11:00
8.8,14,C0G780,2021/12/12 11:00
7.7,335,C0A920,2021/12/12 11:00
11.5,59,C0D650,2021/12/12 11:00
6.8,329,C0SA20,2021/12/12 12:00
9.3,44,C0A920,2021/12/12 12:00
10.9,13,C0E540,2021/12/12 12:00
7,11,C0R690,2021/12/12 12:00
13.4,14,C0W170,2021/12/12 12:00
12.9,28,C0F9P0,2021/12/12 12:00
6.9,347,C0R550,2021/12/12 12:00
7.3,49,C0R800,2021/12/12 12:00
9.1,63,C0E880,2021/12/12 12:00
10.3,49,C0R780,2021/12/12 12:00
8.8,54,C0D590,2021/12/12 12:00
9.2,345,C0G740,2021/12/12 12:00
9.3,34,C0C700,2021/12/12 12:00
7.7,34,C0AI00,2021/12/12 12:00
7.1,48,C0D560,2021/12/12 12:00
11,48,C0F9X0,2021/12/12 12:00
11.4,17,C0R750,2021/12/12 12:00
14.4,358,C0B020,2021/12/12 12:00
7.7,71,C0A940,2021/12/12 12:00
12.2,29,C0G800,2021/12/12 12:00
15.5,12,C0W130,2021/12/12 12:00
10.4,16,C0A860,2021/12/12 12:00
8.4,36,C0D660,2021/12/12 12:00
8.7,69,C0C660,2021/12/12 12:00
9.4,51,C0S910,2021/12/12 12:00
8.9,13,C0AD10,2021/12/12 12:00
10.9,24,C0E830,2021/12/12 12:00
10.3,4,C0C680,2021/12/12 12:00
67.8,191,C0AH40,2021/12/12 12:00
7.1,16,C0R280,2021/12/12 12:00
7,77,C0SA60,2021/12/12 12:00
8.7,36,C0R620,2021/12/12 12:00
9.7,22,C0G870,2021/12/12 12:00
8,41,C0K410,2021/12/12 12:00
9.4,27,C0C690,2021/12/12 12:00
9.9,1,C0AH50,2021/12/12 12:00
8,145,C0S920,2021/12/12 12:00
9.7,6,C0K520,2021/12/12 12:00
9.4,355,C0AD00,2021/12/12 12:00
8.2,31,C0S990,2021/12/12 12:00
8.4,355,C0G780,2021/12/12 12:00
13.7,36,C0R710,2021/12/12 12:00
13.5,55,C0S730,2021/12/12 12:00
10.4,37,C0D650,2021/12/12 12:00
8.8,41,C0C540,2021/12/12 12:00
7.6,282,C0F9U0,2021/12/12 12:00
13.1,42,CM0120,2021/12/12 12:00
9.9,26,C0C590,2021/12/12 12:00
10.8,351,C0F9S0,2021/12/12 12:00
17.1,12,C0G900,2021/12/12 12:00
11.6,348,C0G640,2021/12/12 12:00
10.1,26,C0D660,2021/12/12 13:00
11.9,340,C0F9S0,2021/12/12 13:00
9.6,58,C0C660,2021/12/12 13:00
8.9,71,C0C540,2021/12/12 13:00
13.7,70,C0AC40,2021/12/12 13:00
12.3,347,C0K291,2021/12/12 13:00
8.2,34,C0A920,2021/12/12 13:00
10,38,C0B010,2021/12/12 13:00
7.9,29,C0C490,2021/12/12 13:00
7.4,331,C0F930,2021/12/12 13:00
13,23,C0F9K0,2021/12/12 13:00
12.1,21,C0G730,2021/12/12 13:00
18.7,26,C0G900,2021/12/12 13:00
7.9,50,C0D560,2021/12/12 13:00
12.3,77,C0R680,2021/12/12 13:00
8.1,351,C0G660,2021/12/12 13:00
16.1,17,C0W130,2021/12/12 13:00
9.3,8,C0K420,2021/12/12 13:00
12.2,18,C0G800,2021/12/12 13:00
9.1,100,C0R770,2021/12/12 13:00
11.5,11,C0AH50,2021/12/12 13:00
12.2,36,C0C700,2021/12/12 13:00
12.9,19,C0W170,2021/12/12 13:00
10.1,8,C0K280,2021/12/12 13:00
14.4,15,CM0120,2021/12/12 13:00
7.1,24,C0A940,2021/12/12 13:00
9.3,37,C0AH40,2021/12/12 13:00
10.9,341,C0C690,2021/12/12 13:00
9.6,8,C0K430,2021/12/12 13:00
9.5,32,C0AD00,2021/12/12 13:00
9.5,20,C0C630,2021/12/12 13:00
8.2,15,C0AI00,2021/12/12 13:00
11.2,76,C0R750,2021/12/12 13:00
8.2,58,C0AC80,2021/12/12 13:00
8.3,330,C0S900,2021/12/12 13:00
17.6,17,C0W120,2021/12/12 13:00
13.2,345,C0C680,2021/12/12 13:00
8.8,50,C0D650,2021/12/12 13:00
9.8,15,C0C620,2021/12/12 13:00
10.1,49,C0R350,2021/12/12 13:00
6.2,2,C0D570,2021/12/12 13:00
10.3,18,C0E590,2021/12/12 13:00
7.1,334,C0A880,2021/12/12 13:00
14.5,17,C0A970,2021/12/12 13:00
11.5,25,C0C650,2021/12/12 13:00
12.1,24,C0AH30,2021/12/12 13:00
9.8,33,C0E730,2021/12/12 13:00
8,354,C0G620,2021/12/12 13:00
11.5,31,C0E830,2021/12/12 13:00
13.2,7,C0G640,2021/12/12 13:00
7.4,116,C0SA00,2021/12/12 13:00
9,19,C0F000,2021/12/12 13:00
13.9,360,C0K530,2021/12/12 13:00
10.3,1,C0F9R0,2021/12/12 13:00
7.1,58,C0A660,2021/12/12 13:00
10.8,342,C0G740,2021/12/12 13:00
10.4,69,C0R320,2021/12/12 13:00
10.9,45,C0E540,2021/12/12 13:00
8.5,139,C0S920,2021/12/12 13:00
10.5,7,C0K520,2021/12/12 13:00
8.3,17,C0E880,2021/12/12 13:00
6.6,89,C0SA60,2021/12/12 13:00
8.8,278,C0F9U0,2021/12/12 13:00
14.1,45,C0F9P0,2021/12/12 13:00
16,15,C0G890,2021/12/12 13:00
8,33,C0R620,2021/12/12 13:00
7.9,322,C0K550,2021/12/12 13:00
8.4,23,C0D590,2021/12/12 13:00
9.4,118,C0R740,2021/12/12 13:00
9.6,14,C0C590,2021/12/12 13:00
7.7,7,C0E850,2021/12/12 13:00
7.7,13,C0A930,2021/12/12 13:00
12.5,17,C0S910,2021/12/12 13:00
9.6,346,C0G750,2021/12/12 13:00
8,72,C0R280,2021/12/12 13:00
16.1,356,C0B020,2021/12/12 13:00
11.5,16,C0AD50,2021/12/12 14:00
8.3,323,C0F9M0,2021/12/12 14:00
10.6,39,C0G740,2021/12/12 14:00
9.5,33,C0D660,2021/12/12 14:00
9.9,28,C0A880,2021/12/12 14:00
9.3,27,C0AH40,2021/12/12 14:00
7.1,17,C0AD40,2021/12/12 14:00
10.2,61,C0S910,2021/12/12 14:00
11.6,37,C0F9R0,2021/12/12 14:00
8,302,C0K240,2021/12/12 14:00
12.5,29,C0R780,2021/12/12 14:00
8.9,54,C0D560,2021/12/12 14:00
16.2,28,C0W110,2021/12/12 14:00
9.3,38,C0F9U0,2021/12/12 14:00
12.7,25,C0R750,2021/12/12 14:00
7.5,97,C0AD00,2021/12/12 14:00
7.7,40,C0R800,2021/12/12 14:00
14.9,24,C0G800,2021/12/12 14:00
14.9,10,C0W130,2021/12/12 14:00
19.7,12,C0G900,2021/12/12 14:00
9.2,111,C0R740,2021/12/12 14:00
6.3,49,C0G820,2021/12/12 14:00
10.4,3,C0AH50,2021/12/12 14:00
11.8,52,C0R710,2021/12/12 14:00
11.9,40,C0C700,2021/12/12 14:00
7.9,330,C0G660,2021/12/12 14:00
14.5,36,C0W170,2021/12/12 14:00
12.3,60,C0UA70,2021/12/12 14:00
8,63,C0R730,2021/12/12 14:00
15.5,69,C0R680,2021/12/12 14:00
10.4,20,C0C690,2021/12/12 14:00
9.6,84,C0C660,2021/12/12 14:00
14.3,83,C0AC40,2021/12/12 14:00
11.8,348,C0G780,2021/12/12 14:00
11.2,20,C0E810,2021/12/12 14:00
16.2,358,C0B020,2021/12/12 14:00
9.4,6,C0G770,2021/12/12 14:00
10.4,6,C0G750,2021/12/12 14:00
15.2,43,C0F9P0,2021/12/12 14:00
7.7,353,C0A520,2021/12/12 14:00
10.1,332,C0K430,2021/12/12 14:00
7.9,38,C0R620,2021/12/12 14:00
8.3,57,C0C540,2021/12/12 14:00
12.6,3,C0AI00,2021/12/12 14:00
9.3,360,C0C630,2021/12/12 14:00
20.4,18,C0W120,2021/12/12 14:00
10.4,47,C0B010,2021/12/12 14:00
8.8,35,C0E870,2021/12/12 14:00
8.9,340,C0K550,2021/12/12 14:00
13.9,35,C0F9K0,2021/12/12 14:00
9.2,337,C0K410,2021/12/12 14:00
15.1,348,C0AH30,2021/12/12 14:00
6.2,15,C0D430,2021/12/12 14:00
9.5,34,C0F000,2021/12/12 14:00
17.1,15,C0G890,2021/12/12 14:00
6.6,134,C0C480,2021/12/12 14:00
9.5,5,C0F9I0,2021/12/12 14:00
7.1,267,C0D570,2021/12/12 14:00
9.8,60,C0E850,2021/12/12 14:00
14.3,28,C0A870,2021/12/12 14:00
7.1,29,C0A940,2021/12/12 14:00
11.6,20,C0E540,2021/12/12 14:00
14.3,34,CM0120,2021/12/12 14:00
11.3,84,C0R320,2021/12/12 14:00
9.5,35,C0C620,2021/12/12 14:00
6,121,C0AC70,2021/12/12 14:00
15.6,355,C0F9S0,2021/12/12 14:00
11.1,22,C0C650,2021/12/12 14:00
14.4,16,C0G640,2021/12/12 14:00
12.9,5,C0G870,2021/12/12 14:00
10.4,25,C0E820,2021/12/12 14:00
8.4,106,C0R770,2021/12/12 14:00
8.8,25,C0C590,2021/12/12 14:00
10.5,353,C0C680,2021/12/12 14:00
14.7,2,C0K530,2021/12/12 14:00
11.6,17,C0E590,2021/12/12 14:00
7.7,83,C0A920,2021/12/12 14:00
11.2,66,C0E880,2021/12/12 14:00
18.1,1,C0A970,2021/12/12 14:00
8.8,26,C0A930,2021/12/12 14:00
8.9,341,C0R340,2021/12/12 14:00
13.1,36,C0E830,2021/12/12 14:00
8.8,34,C0A860,2021/12/12 14:00
11.3,13,C0K520,2021/12/12 14:00
11.9,345,C0K291,2021/12/12 14:00
11,5,C0E810,2021/12/12 15:00
9.3,103,C0A9F0,2021/12/12 15:00
9.5,6,C0G620,2021/12/12 15:00
11.8,346,C0G740,2021/12/12 15:00
11.7,44,C0U910,2021/12/12 15:00
12.7,43,C0D650,2021/12/12 15:00
15.1,45,C0W170,2021/12/12 15:00
10.3,30,C0C630,2021/12/12 15:00
16,54,C0AC40,2021/12/12 15:00
10.1,350,C0F9T0,2021/12/12 15:00
11.7,13,C0E540,2021/12/12 15:00
13.1,352,C0G910,2021/12/12 15:00
16.3,11,C0W130,2021/12/12 15:00
12.2,16,C0K280,2021/12/12 15:00
10.8,9,C0K500,2021/12/12 15:00
9.2,39,C0C700,2021/12/12 15:00
12.6,6,C0M710,2021/12/12 15:00
8.9,1,C0U520,2021/12/12 15:00
10.3,35,C0E820,2021/12/12 15:00
7.2,133,C0T820,2021/12/12 15:00
5.7,47,C0G820,2021/12/12 15:00
9.3,352,C0G860,2021/12/12 15:00
9.1,350,C0G810,2021/12/12 15:00
10,30,C0E590,2021/12/12 15:00
12.7,30,C0F9K0,2021/12/12 15:00
8.1,355,C0X190,2021/12/12 15:00
8.9,354,C0X100,2021/12/12 15:00
10.5,38,C0S910,2021/12/12 15:00
10.6,38,C0D590,2021/12/12 15:00
14.7,27,C0F9X0,2021/12/12 15:00
10.5,338,C0G720,2021/12/12 15:00
11.2,34,C0K420,2021/12/12 15:00
8.7,53,C0E730,2021/12/12 15:00
9.9,117,C0R740,2021/12/12 15:00
14.8,27,C0UA70,2021/12/12 15:00
11.1,24,C0K250,2021/12/12 15:00
8.8,35,C0C690,2021/12/12 15:00
9.3,33,C0AI00,2021/12/12 15:00
16.5,5,C0K530,2021/12/12 15:00
9.3,47,C0AH40,2021/12/12 15:00
8.5,41,C0F9U0,2021/12/12 15:00
9.9,73,C0C540,2021/12/12 15:00
15.3,352,C0F9S0,2021/12/12 15:00
12.3,317,C0U950,2021/12/12 15:00
8,5,C0X250,2021/12/12 15:00
7.6,35,C0R280,2021/12/12 15:00
10.3,59,C0F9L0,2021/12/12 15:00
10.3,36,C0D560,2021/12/12 15:00
7.2,76,C0SA60,2021/12/12 15:00
9.7,323,C0K550,2021/12/12 15:00
7.9,15,C0E430,2021/12/12 15:00
11.2,45,C0F9R0,2021/12/12 15:00
14.4,42,C0F9P0,2021/12/12 15:00
7.7,18,C0UA50,2021/12/12 15:00
14.7,355,C0B020,2021/12/12 15:00
13.2,22,C0F9Q0,2021/12/12 15:00
18.5,10,C0A970,2021/12/12 15:00
8.5,11,C0F9I0,2021/12/12 15:00
13.4,11,C0K291,2021/12/12 15:00
10.1,349,C0M740,2021/12/12 15:00
8.3,216,C0U980,2021/12/12 15:00
10.6,82,C0U770,2021/12/12 15:00
7.3,29,C0R620,2021/12/12 15:00
11,31,C0D660,2021/12/12 15:00
9.3,13,C0AH50,2021/12/12 15:00
9.2,29,C0B010,2021/12/12 15:00
8.8,355,C0AD50,2021/12/12 15:00
19.7,20,C0G900,2021/12/12 15:00
11.6,9,C0K430,2021/12/12 15:00
8.5,20,C0AD00,2021/12/12 15:00
9.1,2,C0E420,2021/12/12 15:00
8.9,45,C0C620,2021/12/12 15:00
9.9,20,C0C590,2021/12/12 15:00
7,32,C0D480,2021/12/12 15:00
9.7,358,C0K330,2021/12/12 15:00
12.2,49,C0R710,2021/12/12 15:00
11.6,359,C0K520,2021/12/12 15:00
11.4,76,C0E870,2021/12/12 15:00
10.3,344,C0K410,2021/12/12 15:00
10.4,67,C0C660,2021/12/12 15:00
22.8,35,C0W160,2021/12/12 15:00
9.4,21,C0U780,2021/12/12 15:00
7.4,54,C0R340,2021/12/12 15:00
18.9,16,C0W120,2021/12/12 15:00
7.1,353,C0A520,2021/12/12 15:00
9.8,52,C0F000,2021/12/12 15:00
11.3,55,C0W140,2021/12/12 15:00
7.9,46,C0E850,2021/12/12 15:00
7.7,360,C0A920,2021/12/12 15:00
8.6,329,C0G760,2021/12/12 15:00
8.7,341,C0D570,2021/12/12 15:00
7.6,288,C0F9A0,2021/12/12 15:00
9.9,356,C0K580,2021/12/12 15:00
15,20,C0G800,2021/12/12 15:00
16.2,18,C0G890,2021/12/12 15:00
13.8,8,C0G640,2021/12/12 15:00
11.7,23,C0G870,2021/12/12 15:00
17.4,37,CM0120,2021/12/12 15:00
10.3,350,C0M660,2021/12/12 15:00
9.4,343,C0M790,2021/12/12 16:00
16,17,C0A870,2021/12/12 16:00
12.6,34,C0E830,2021/12/12 16:00
11,355,C0AH50,2021/12/12 16:00
7.4,4,C0R340,2021/12/12 16:00
16.3,16,C0A970,2021/12/12 16:00
8.8,360,C0G810,2021/12/12 16:00
10,45,C0F9L0,2021/12/12 16:00
8.7,105,C0R740,2021/12/12 16:00
10.2,69,C0E870,2021/12/12 16:00
16.5,67,C0AC40,2021/12/12 16:00
9.9,61,C0D590,2021/12/12 16:00
6.6,89,C0AC70,2021/12/12 16:00
11.5,24,C0C690,2021/12/12 16:00
11.6,123,C0S730,2021/12/12 16:00
15,11,C0G640,2021/12/12 16:00
10.3,27,C0K550,2021/12/12 16:00
7.1,329,C0AD30,2021/12/12 16:00
10.7,27,C0R780,2021/12/12 16:00
13.6,2,C0E810,2021/12/12 16:00
12.7,325,C0U770,2021/12/12 16:00
12.4,68,C0W150,2021/12/12 16:00
7.9,49,C0E430,2021/12/12 16:00
12.5,30,C0F9R0,2021/12/12 16:00
18.4,41,CM0120,2021/12/12 16:00
8.6,29,C0K330,2021/12/12 16:00
6,45,C0G820,2021/12/12 16:00
9,355,C0X190,2021/12/12 16:00
9.4,353,C0G660,2021/12/12 16:00
10.2,60,C0E550,2021/12/12 16:00
9.6,329,C0X120,2021/12/12 16:00
9.9,19,C0AI00,2021/12/12 16:00
11.1,18,C0F000,2021/12/12 16:00
12.3,26,C0F9K0,2021/12/12 16:00
13.8,350,C0X290,2021/12/12 16:00
11.2,17,C0K510,2021/12/12 16:00
19.4,18,C0W120,2021/12/12 16:00
17.2,10,C0K530,2021/12/12 16:00
9.9,26,C0D560,2021/12/12 16:00
9.1,31,C0F9U0,2021/12/12 16:00
9.2,333,C0X100,2021/12/12 16:00
14.3,5,C0K291,2021/12/12 16:00
10.4,146,C0R550,2021/12/12 16:00
13.3,310,C0U950,2021/12/12 16:00
8.4,11,C0K580,2021/12/12 16:00
11.5,332,C0K430,2021/12/12 16:00
10.3,346,C0K410,2021/12/12 16:00
8.8,49,C0A880,2021/12/12 16:00
8.9,329,C0U980,2021/12/12 16:00
9.6,25,C0G770,2021/12/12 16:00
6.6,338,C0ACA0,2021/12/12 16:00
10.8,3,C0G870,2021/12/12 16:00
7.5,6,C0M700,2021/12/12 16:00
10.4,7,C0K420,2021/12/12 16:00
8.8,43,C0X260,2021/12/12 16:00
9.2,12,C0G620,2021/12/12 16:00
17.7,39,C0F9S0,2021/12/12 16:00
7.3,321,C0K240,2021/12/12 16:00
9.5,34,C0E750,2021/12/12 16:00
9.9,23,C0A860,2021/12/12 16:00
16.9,23,C0G890,2021/12/12 16:00
14.1,21,C0W170,2021/12/12 16:00
11.6,347,C0G740,2021/12/12 16:00
7.6,41,C0E850,2021/12/12 16:00
12.6,15,C0M710,2021/12/12 16:00
9.4,23,C0F9I0,2021/12/12 16:00
12.3,27,C0UA70,2021/12/12 16:00
7.4,18,C0M780,2021/12/12 16:00
12,360,C0K500,2021/12/12 16:00
6.6,13,C0A660,2021/12/12 16:00
9.1,44,C0E590,2021/12/12 16:00
6.6,76,C0A9F0,2021/12/12 16:00
9.1,34,C0C620,2021/12/12 16:00
8.5,345,C0M740,2021/12/12 16:00
11.2,41,C0E820,2021/12/12 16:00
16.5,7,C0W130,2021/12/12 16:00
10.6,348,C0C680,2021/12/12 16:00
14.5,356,C0B020,2021/12/12 16:00
10.6,32,C0D660,2021/12/12 16:00
9.5,32,C0C700,2021/12/12 16:00
16.2,33,C0G800,2021/12/12 16:00
12.3,85,C0E880,2021/12/12 16:00
12.4,34,C0E540,2021/12/12 16:00
13.3,360,C0AH30,2021/12/12 16:00
